THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
1	东方	dōng fāng	[tʊ̄ŋ fāŋ]	東方	ㄉㄨㄥ ㄈㄤ	dōng fāng	[tʊ̄ŋ fāŋ]	東方	Touhou	とうほう	/toːhoː/	东方	東方	ㄉㄨㄥ ㄈㄤ	東方	TRUE
2	博丽灵梦	Bólì Língmèng	[pwó lì líŋ mə̀ŋ]	博麗靈夢	ㄅㄛˊ ㄌㄧˋ ㄌㄧㄥˊ ㄇㄥˋ	Bólì Língmèng	[pwó lì líŋ mə̀ŋ]	博麗霊夢	Hakurei Reimu	はくれい れいむ	/hakɯɾeː ɾeːmɯ/	博丽 灵梦	博麗 靈夢	ㄅㄛˊ ㄌㄧˋ ㄌㄧㄥˊ ㄇㄥˋ	博麗 霊夢	
3	雾雨魔理沙	Wùyǔ Mólǐshā	[ù y̌ mwó lǐ ʂā]	霧雨魔理沙	ㄨˋ ㄩˇ ㄇㄛˊ ㄌㄧˇ ㄕㄚ	Wùyǔ Mólǐshā	[ù y̌ mwó lǐ ʂā]	霧雨魔理沙	Kirisame Marisa	きりさめ まりさ	/kiɾisame maɾisa/	雾雨 魔理沙	霧雨 魔理沙	ㄨˋ ㄩˇ ㄇㄛˊ ㄌㄧˇ ㄕㄚ	霧雨 魔理沙	
4	红魔乡	Hóngmóxiāng	[xʊ́ŋ mwó ɕjāŋ]	紅魔鄉	ㄏㄨㄥˊ ㄇㄛˊ ㄒㄧㄤ	Hóngmósiāng	[xʊ́ŋ mwó ɕjāŋ]	紅魔郷	Koumakyou	こうまきょう	/koːmakʲoː/	红魔乡	紅魔鄉	ㄏㄨㄥˊ ㄇㄛˊ ㄒㄧㄤ	紅魔郷	TRUE
5	露米娅	Lùmǐyà	[lù mǐ jà]	露米婭	ㄌㄨˋ ㄇㄧˇ ㄧㄚˋ	Lùmǐyà	[lù mǐ jà]	ルーミア	Rumia	るーみあ	/ɾɯːmia/	露米娅	露米婭	ㄌㄨˋ ㄇㄧˇ ㄧㄚˋ	ルーミア	
6	大妖精	Dàyāojīng	[tà jāu tɕīŋ]	大妖精	ㄉㄚˋ ㄧㄠ ㄐㄧㄥ	Dàyāojīng	[tà jāu tɕīŋ]	大妖精	Daiyousei	だいようせい	/daijoːseː/	大妖精	大妖精	ㄉㄚˋ ㄧㄠ ㄐㄧㄥ	大妖精	
7	琪露诺	Qílùnuò	[tɕʰí lù nwò]	琪露諾	ㄑㄧˊ ㄌㄨˋ ㄋㄨㄛˋ	Cílùnuò	[tɕʰí lù nwò]	チルノ	Cirno	ちるの	/tɕiɾɯno/	琪露诺	琪露諾	ㄑㄧˊ ㄌㄨˋ ㄋㄨㄛˋ	チルノ	
7	奇鲁诺	Qílǔnuò	[tɕʰí lǔ nwò]	奇魯諾	ㄑㄧˊ ㄌㄨˇ ㄋㄨㄛˋ	Cílǔnuò	[tɕʰí lǔ nwò]	チルノ	Cirno	ちるの	/tɕiɾɯno/	奇鲁诺	奇魯諾	ㄑㄧˊ ㄌㄨˇ ㄋㄨㄛˋ	チルノ	
8	红美铃	Hóng Měilíng	[xʊ́ŋ měi líŋ]	紅美鈴	ㄏㄨㄥˊ ㄇㄟˇ ㄌㄧㄥˊ	Hóng Měilíng	[xʊ́ŋ měi líŋ]	紅美鈴	Hong Meiling	ほん めいりん	/hoɴ meːɾiɴ/	红 美铃	紅美鈴	ㄏㄨㄥˊ ㄇㄟˇ ㄌㄧㄥˊ	紅美鈴	
9	小恶魔	Xiǎoèmó	[ɕjǎu ɤ̀ mwó]	小惡魔	ㄒㄧㄠˇ ㄜˋ ㄇㄛˊ	Siǎo'èmó	[ɕjǎu ɤ̀ mwó]	小悪魔	Koakuma	こあくま	/koakɯma/	小恶魔	小惡魔	ㄒㄧㄠˇ ㄜˋ ㄇㄛˊ	小悪魔	
10	帕秋莉·诺蕾姬	Pàqiūlì Nuòlěijī	[pʰà tɕʰjōu lì nwò lěi tɕī]	帕秋莉·諾蕾姬	ㄆㄚˋ ㄑㄧㄡ ㄌㄧˋ ㄋㄨㄛˋ ㄌㄟˇ ㄐㄧ	Pàciōulì Nuòlěijī	[pʰà tɕʰjōu lì nwò lěi tɕī]	パチュリー・ノーレッジ	Patchouli Knowledge	ぱちゅりー のーれっじ	/patɕɯɾiː noːɾeʔdʑi/	帕秋莉·\n诺蕾姬	帕秋莉·\n諾蕾姬	ㄆㄚˋ ㄑㄧㄡ ㄌㄧˋ \nㄋㄨㄛˋ ㄌㄟˇ ㄐㄧ	パチュリー・\nノーレッジ	
10	帕邱莉·诺蕾姬	Pàqiūlì Nuòlěijī	[pʰà tɕʰjōu lì nwò lěi tɕī]	帕邱莉·諾蕾姬	ㄆㄚˋ ㄑㄧㄡ ㄌㄧˋ ㄋㄨㄛˋ ㄌㄟˇ ㄐㄧ	Pàciōulì Nuòlěijī	[pʰà tɕʰjōu lì nwò lěi tɕī]	パチュリー・ノーレッジ	Patchouli Knowledge	ぱちゅりー のーれっじ	/patɕɯɾiː noːɾeʔdʑi/	帕邱莉·\n诺蕾姬	帕邱莉·\n諾蕾姬	ㄆㄚˋ ㄑㄧㄡ ㄌㄧˋ \nㄋㄨㄛˋ ㄌㄟˇ ㄐㄧ	パチュリー・\nノーレッジ	
10	帕裘莉·诺蕾姬	Pàqiúlì Nuòlěijī	[pʰà tɕʰjóu lì nwò lěi tɕī]	帕裘莉·諾蕾姬	ㄆㄚˋ ㄑㄧㄡˊ ㄌㄧˋ ㄋㄨㄛˋ ㄌㄟˇ ㄐㄧ	Pàcióulì Nuòlěijī	[pʰà tɕʰjóu lì nwò lěi tɕī]	パチュリー・ノーレッジ	Patchouli Knowledge	ぱちゅりー のーれっじ	/patɕɯɾiː noːɾeʔdʑi/	帕裘莉·\n诺蕾姬	帕裘莉·\n諾蕾姬	ㄆㄚˋ ㄑㄧㄡˊ ㄌㄧˋ \nㄋㄨㄛˋ ㄌㄟˇ ㄐㄧ	パチュリー・\nノーレッジ	
11	十六夜咲夜	Shíliùyè Xiàoyè	[ʂɻ̩́ ljòu jè ɕjàu jè]	十六夜咲夜	ㄕˊ ㄌㄧㄡˋ ㄧㄝˋ ㄒㄧㄠˋ ㄧㄝˋ	Shíhliòuyè Siàoyè	[ʂɻ̩́ ljòu jè ɕjàu jè]	十六夜咲夜	Izayoi Sakuya	いざよい さくや	/izajoi sakɯja/	十六夜 咲夜	十六夜 咲夜	ㄕˊ ㄌㄧㄡˋ ㄧㄝˋ ㄒㄧㄠˋ ㄧㄝˋ	十六夜 咲夜	
12	蕾米莉亚·斯卡蕾特	Lěimǐlìyà Sīkǎlěitè	[lěi mǐ lì jà sɹ̩̄ kʰǎ lěi tʰɤ̀]	蕾米莉亞·斯卡蕾特	ㄌㄟˇ ㄇㄧˇ ㄌㄧˋ ㄧㄚˋ ㄙ ㄎㄚˇ ㄌㄟˇ ㄊㄜˋ	Lěimǐlìyà Sīhkǎlěitè	[lěi mǐ lì jà sɹ̩̄ kʰǎ lěi tʰɤ̀]	レミリア・スカーレット	Remilia Scarlet	れみりあ すかーれっと	/ɾemiɾia sɯ̥kaːɾetto/	蕾米莉亚·\n斯卡蕾特	蕾米莉亞·\n斯卡蕾特	ㄌㄟˇ ㄇㄧˇ ㄌㄧˋ ㄧㄚˋ \nㄙ ㄎㄚˇ ㄌㄟˇ ㄊㄜˋ	レミリア・\nスカーレット	
12	蕾米莉雅·斯卡雷特	Lěimǐlìyǎ Sīkǎléitè	[lěi mǐ lì jǎ sɹ̩̄ kʰǎ léi tʰɤ̀]	蕾米莉雅·斯卡雷特	ㄌㄟˇ ㄇㄧˇ ㄌㄧˋ ㄧㄚˇ ㄙ ㄎㄚˇ ㄌㄟˊ ㄊㄜˋ	Lěimǐlìyǎ Sīhkǎléitè	[lěi mǐ lì jǎ sɹ̩̄ kʰǎ léi tʰɤ̀]	レミリア・スカーレット	Remilia Scarlet	れみりあ すかーれっと	/ɾemiɾia sɯ̥kaːɾetto/	蕾米莉雅·\n斯卡雷特	蕾米莉雅·\n斯卡雷特	ㄌㄟˇ ㄇㄧˇ ㄌㄧˋ ㄧㄚˇ \nㄙ ㄎㄚˇ ㄌㄟˊ ㄊㄜˋ	レミリア・\nスカーレット	
13	芙兰朵露·斯卡蕾特	Fúlánduǒlù Sīkǎlěitè	[fú lán twǒ lù sɹ̩̄ kʰǎ lěi tʰɤ̀]	芙蘭朵露·斯卡蕾特	ㄈㄨˊ ㄌㄢˊ ㄉㄨㄛˇ ㄌㄨˋ ㄙ ㄎㄚˇ ㄌㄟˇ ㄊㄜˋ	Fúlánduǒlù Sīhkǎlěitè	[fú lán twǒ lù sɹ̩̄ kʰǎ lěi tʰɤ̀]	フランドール・スカーレット	Flandre Scarlet	ふらんどーる すかーれっと	/ɸɯɾaɴdoːɾɯ sɯ̥kaːɾetto/	芙兰朵露·\n斯卡蕾特	芙蘭朵露·\n斯卡蕾特	ㄈㄨˊ ㄌㄢˊ ㄉㄨㄛˇ ㄌㄨˋ \nㄙ ㄎㄚˇ ㄌㄟˇ ㄊㄜˋ	フランドール・\nスカーレット	
13	芙兰朵露·斯卡雷特	Fúlánduǒlù Sīkǎléitè	[fú lán twǒ lù sɹ̩̄ kʰǎ léi tʰɤ̀]	芙蘭朵露·斯卡雷特	ㄈㄨˊ ㄌㄢˊ ㄉㄨㄛˇ ㄌㄨˋ ㄙ ㄎㄚˇ ㄌㄟˊ ㄊㄜˋ	Fúlánduǒlù Sīhkǎléitè	[fú lán twǒ lù sɹ̩̄ kʰǎ léi tʰɤ̀]	フランドール・スカーレット	Flandre Scarlet	ふらんどーる すかーれっと	/ɸɯɾaɴdoːɾɯ sɯ̥kaːɾetto/	芙兰朵露·\n斯卡雷特	芙蘭朵露·\n斯卡雷特	ㄈㄨˊ ㄌㄢˊ ㄉㄨㄛˇ ㄌㄨˋ \nㄙ ㄎㄚˇ ㄌㄟˊ ㄊㄜˋ	フランドール・\nスカーレット	
14	妖妖梦	Yāoyāomèng	[jāu jāu mə̀ŋ]	妖妖夢	ㄧㄠ ㄧㄠ ㄇㄥˋ	Yāoyāomèng	[jāu jāu mə̀ŋ]	妖々夢	Youyoumu	ようようむ	/joːjoːmɯ/	妖妖梦	妖妖夢	ㄧㄠ ㄧㄠ ㄇㄥˋ	妖々夢	TRUE
15	蕾蒂·霍瓦特洛克	Lěidì Huòwǎtèluòkè	[lěi tì xwò wǎ tʰɤ̀ lwò kʰɤ̀]	蕾蒂·霍瓦特洛克	ㄌㄟˇ ㄉㄧˋ ㄏㄨㄛˋ ㄨㄚˇ ㄊㄜˋ ㄌㄨㄛˋ ㄎㄜˋ	Lěidì Huòwǎtèluòkè	[lěi tì xwò wǎ tʰɤ̀ lwò kʰɤ̀]	レティ・ホワイトロック	Letty Whiterock	れてぃ ほわいとろっく	/ɾetiː howaitoɾokkɯ/	蕾蒂·\n霍瓦特洛克	蕾蒂·\n霍瓦特洛克	ㄌㄟˇ ㄉㄧˋ \nㄏㄨㄛˋ ㄨㄚˇ ㄊㄜˋ ㄌㄨㄛˋ ㄎㄜˋ	レティ・\nホワイト\nロック	
16	橙	Chéng	[ʈʂʰə́ŋ]	橙	ㄔㄥˊ	Chéng	[ʈʂʰə́ŋ]	橙	Chen	ちぇん	/tɕeɴ/	橙	橙	ㄔㄥˊ	橙	
17	爱丽丝·玛格特洛依德	Àilìsī Mǎgétèluòyīdé	[ài lì sɹ̩̄ mǎ kɤ́ tʰɤ̀ lwò ī tɤ́]	愛麗絲·瑪格特洛依德	ㄞˋ ㄌㄧˋ ㄙ ㄇㄚˇ ㄍㄜˊ ㄊㄜˋ ㄌㄨㄛˋ ㄧ ㄉㄜˊ	Àilìsīh Mǎgétèluòyīdé	[ài lì sɹ̩̄ mǎ kɤ́ tʰɤ̀ lwò ī tɤ́]	アリス・マーガトロイド	Alice Margatroid	ありす まーがとろいど	/aɾisɯ maːgatoɾoido/	爱丽丝·\n玛格特洛依德	愛麗絲·\n瑪格特洛依德	ㄞˋ ㄌㄧˋ ㄙ \nㄇㄚˇ ㄍㄜˊ ㄊㄜˋ ㄌㄨㄛˋ ㄧ ㄉㄜˊ	アリス・\nマーガトロイド	
17	爱丽丝·玛格特罗依德	Àilìsī Mǎgétèluóyīdé	[ài lì sɹ̩̄ mǎ kɤ́ tʰɤ̀ lwó ī tɤ́]	愛麗絲·瑪格特羅依德	ㄞˋ ㄌㄧˋ ㄙ ㄇㄚˇ ㄍㄜˊ ㄊㄜˋ ㄌㄨㄛˊ ㄧ ㄉㄜˊ	Àilìsīh Mǎgétèluóyīdé	[ài lì sɹ̩̄ mǎ kɤ́ tʰɤ̀ lwó ī tɤ́]	アリス・マーガトロイド	Alice Margatroid	ありす まーがとろいど	/aɾisɯ maːgatoɾoido/	爱丽丝·\n玛格特罗依德	愛麗絲·\n瑪格特羅依德	ㄞˋ ㄌㄧˋ ㄙ \nㄇㄚˇ ㄍㄜˊ ㄊㄜˋ ㄌㄨㄛˊ ㄧ ㄉㄜˊ	アリス・\nマーガトロイド	
18	莉莉霍瓦特	Lìlì Huòwǎtè	[lì lì xwò wǎ tʰɤ̀]	莉莉霍瓦特	ㄌㄧˋ ㄌㄧˋ ㄏㄨㄛˋ ㄨㄚˇ ㄊㄜˋ	Lìlì Huòwǎtè	[lì lì xwò wǎ tʰɤ̀]	リリーホワイト	Lily White	りりーほわいと	/ɾiɾiːhowaito/	莉莉霍瓦特	莉莉霍瓦特	ㄌㄧˋ ㄌㄧˋ ㄏㄨㄛˋ ㄨㄚˇ ㄊㄜˋ	リリー\nホワイト	
18	莉莉白	Lìlì Bái	[lì lì pái]	莉莉白	ㄌㄧˋ ㄌㄧˋ ㄅㄞˊ	Lìlì Bái	[lì lì pái]	リリーホワイト	Lily White	りりーほわいと	/ɾiɾiːhowaito/	莉莉白	莉莉白	ㄌㄧˋ ㄌㄧˋ ㄅㄞˊ	リリー\nホワイト	
18	莉莉怀特	Lìlì Huáitè	[lì lì xwái tʰɤ̀]	莉莉懷特	ㄌㄧˋ ㄌㄧˋ ㄏㄨㄞˊ ㄊㄜˋ	Lìlì Huáitè	[lì lì xwái tʰɤ̀]	リリーホワイト	Lily White	りりーほわいと	/ɾiɾiːhowaito/	莉莉怀特	莉莉懷特	ㄌㄧˋ ㄌㄧˋ ㄏㄨㄞˊ ㄊㄜˋ	リリー\nホワイト	
19	莉莉卡·普莉兹姆利巴	Lìlìkǎ Pǔlìzīmǔlìbā	[lì lì kʰǎ pʰǔ lì tsɹ̩̄ mǔ lì pā]	莉莉卡·普莉茲姆利巴	ㄌㄧˋ ㄌㄧˋ ㄎㄚˇ ㄆㄨˇ ㄌㄧˋ ㄗ ㄇㄨˇ ㄌㄧˋ ㄅㄚ	Lìlìkǎ Pǔlìzīhmǔlìbā	[lì lì kʰǎ pʰǔ lì tsɹ̩̄ mǔ lì pā]	リリカ・プリズムリバー	Lyrica Prismriver	りりか ぷりずむりばー	/ɾiɾika pɯɾizɯmɯɾibaː/	莉莉卡·\n普莉兹姆利巴	莉莉卡·\n普莉茲姆利巴	ㄌㄧˋ ㄌㄧˋ ㄎㄚˇ ㄆㄨˇ ㄌㄧˋ ㄗ ㄇㄨˇ ㄌㄧˋ ㄅㄚ	リリカ・\nプリズムリバー	
20	梅露兰·普莉兹姆利巴	Méilùlán Pǔlìzīmǔlìbā	[méi lù lán pʰǔ lì tsɹ̩̄ mǔ lì pā]	梅露蘭·普莉茲姆利巴	ㄇㄟˊ ㄌㄨˋ ㄌㄢˊ ㄆㄨˇ ㄌㄧˋ ㄗ ㄇㄨˇ ㄌㄧˋ ㄅㄚ	Méilùlán Pǔlìzīhmǔlìbā	[méi lù lán pʰǔ lì tsɹ̩̄ mǔ lì pā]	メルラン・プリズムリバー	Merlin Prismriver	めるらん ぷりずむりばー	/meɾɯɾaɴ pɯɾizɯmɯɾibaː/	梅露兰·\n普莉兹姆利巴	梅露蘭·\n普莉茲姆利巴	ㄇㄟˊ ㄌㄨˋ ㄌㄢˊ ㄆㄨˇ ㄌㄧˋ ㄗ ㄇㄨˇ ㄌㄧˋ ㄅㄚ	メルラン・\nプリズムリバー	
21	露娜萨·普莉兹姆利巴	Lùnàsà Pǔlìzīmǔlìbā	[lù nà sà pʰǔ lì tsɹ̩̄ mǔ lì pā]	露娜薩·普莉茲姆利巴	ㄌㄨˋ ㄋㄚˋ ㄙㄚˋ ㄆㄨˇ ㄌㄧˋ ㄗ ㄇㄨˇ ㄌㄧˋ ㄅㄚ	Lùnàsà Pǔlìzīhmǔlìbā	[lù nà sà pʰǔ lì tsɹ̩̄ mǔ lì pā]	ルナサ・プリズムリバー	Lunasa Prismriver	るなさ ぷりずむりばー	/ɾɯnasa pɯɾizɯmɯɾibaː/	露娜萨·\n普莉兹姆利巴	露娜薩·\n普莉茲姆利巴	ㄌㄨˋ ㄋㄚˋ ㄙㄚˋ ㄆㄨˇ ㄌㄧˋ ㄗ ㄇㄨˇ ㄌㄧˋ ㄅㄚ	ルナサ・\nプリズムリバー	
22	魂魄妖梦	Húnpò Yāomèng	[xwə́n pʰwò jāu mə̀ŋ]	魂魄妖夢	ㄏㄨㄣˊ ㄆㄛˋ ㄧㄠ ㄇㄥˋ	Húnpò Yāomèng	[xwə́n pʰwò jāu mə̀ŋ]	魂魄妖夢	Konpaku Youmu	こんぱく ようむ	/koɴpakɯ̥ joːmɯ/	魂魄 妖梦	魂魄 妖夢	ㄏㄨㄣˊ ㄆㄛˋ ㄧㄠ ㄇㄥˋ	魂魄 妖夢	
23	西行寺幽幽子	Xīxíngsì Yōuyōuzǐ	[ɕī ɕíŋ sɹ̩̀ jōu jōu tsɹ̩̌]	西行寺幽幽子	ㄒㄧ ㄒㄧㄥˊ ㄙˋ ㄧㄡ ㄧㄡ ㄗˇ	Sīsíngsìh Yōuyōuzǐh	[ɕī ɕíŋ sɹ̩̀ jōu jōu tsɹ̩̌]	西行寺幽々子	Saigyouji Yuyuko	さいぎょうじ ゆゆこ	/saigʲoːdʑi jɯjɯko/	西行寺 幽幽子	西行寺 幽幽子	ㄒㄧ ㄒㄧㄥˊ ㄙˋ ㄧㄡ ㄧㄡ ㄗˇ	西行寺 幽々子	
24	八云蓝	Bāyún Lán	[pā ýn lán]	八雲藍	ㄅㄚ ㄩㄣˊ ㄌㄢˊ	Bāyún Lán	[pā ýn lán]	八雲藍	Yakumo Ran	やくも らん	/jakɯmo ɾaɴ/	八云 蓝	八雲 藍	ㄅㄚ ㄩㄣˊ ㄌㄢˊ	八雲 藍	
25	八云紫	Bāyún Zǐ	[pā ýn tsɹ̩̌]	八雲紫	ㄅㄚ ㄩㄣˊ ㄗˇ	Bāyún Zǐh	[pā ýn tsɹ̩̌]	八雲紫	Yakumo Yukari	やくも ゆかり	/jakɯmo jɯkaɾi/	八云 紫	八雲 紫	ㄅㄚ ㄩㄣˊ ㄗˇ	八雲 紫	
26	萃梦想	Cuìmèngxiǎng	[tsʰwèi mə̀ŋ ɕjǎŋ]	萃夢想	ㄘㄨㄟˋ ㄇㄥˋ ㄒㄧㄤˇ	Cuèimèngsiǎng	[tsʰwèi mə̀ŋ ɕjǎŋ]	萃夢想	Suimusou	すいむそう	/sɯimɯsoː/	萃梦想	萃夢想	ㄘㄨㄟˋ ㄇㄥˋ ㄒㄧㄤˇ	萃夢想	TRUE
27	伊吹萃香	Yīchuī Cuìxiāng	[ī ʈʂʰwēi tsʰwèi ɕjāŋ]	伊吹萃香	ㄧ ㄔㄨㄟ ㄘㄨㄟˋ ㄒㄧㄤ	Yīchuēi Cuèisiāng	[ī ʈʂʰwēi tsʰwèi ɕjāŋ]	伊吹萃香	Ibuki Suika	いぶき すいか	/ibɯki sɯika/	伊吹 萃香	伊吹 萃香	ㄧ ㄔㄨㄟ ㄘㄨㄟˋ ㄒㄧㄤ	伊吹 萃香	
28	永夜抄	Yǒngyèchāo	[jʊ̌ŋ jè ʈʂʰāu]	永夜抄	ㄩㄥˇ ㄧㄝˋ ㄔㄠ	Yǒngyèchāo	[jʊ̌ŋ jè ʈʂʰāu]	永夜抄	Eiyashou	えいやしょう	/eːjaɕoː/	永夜抄	永夜抄	ㄩㄥˇ ㄧㄝˋ ㄔㄠ	永夜抄	TRUE
29	莉格露·奈特巴格	Lìgélù Nàitèbāgé	[lì kɤ́ lù nài tʰɤ̀ pā kɤ́]	莉格露·奈特巴格	ㄌㄧˋ ㄍㄜˊ ㄌㄨˋ ㄋㄞˋ ㄊㄜˋ ㄅㄚ ㄍㄜˊ	Lìgélù Nàitèbāgé	[lì kɤ́ lù nài tʰɤ̀ pā kɤ́]	リグル・ナイトバグ	Wriggle Nightbug	りぐる ないとばぐ	/ɾigɯɾɯ naitobagɯ/	莉格露·\n奈特巴格	莉格露·\n奈特巴格	ㄌㄧˋ ㄍㄜˊ ㄌㄨˋ \nㄋㄞˋ ㄊㄜˋ ㄅㄚ ㄍㄜˊ	リグル・\nナイトバグ	
30	米斯蒂娅·萝蕾拉	Mǐsīdìyà Luólěilā	[mǐ sɹ̩̄ tì jà lwó lěi lā]	米斯蒂婭·蘿蕾拉	ㄇㄧˇ ㄙ ㄉㄧˋ ㄧㄚˋ ㄌㄨㄛˊ ㄌㄟˇ ㄌㄚ	Mǐsīhdìyà Luólěilā	[mǐ sɹ̩̄ tì jà lwó lěi lā]	ミスティア・ローレライ	Mystia Lorelei	みすてぃあ ろーれらい	/misɯ̥tia ɾoːɾeɾai/	米斯蒂娅·\n萝蕾拉	米斯蒂婭·\n蘿蕾拉	ㄇㄧˇ ㄙ ㄉㄧˋ ㄧㄚˋ \nㄌㄨㄛˊ ㄌㄟˇ ㄌㄚ	ミスティア・\nローレライ	
31	上白泽慧音	Shàngbáizé Huìyīn	[ʂàŋ pái tsɤ́ xwèi īn]	上白澤慧音	ㄕㄤˋ ㄅㄞˊ ㄗㄜˊ ㄏㄨㄟˋ ㄧㄣ	Shàngbáizé Huèiyīn	[ʂàŋ pái tsɤ́ xwèi īn]	上白沢慧音	Kamishirasawa Keine	かみしらさわ けいね	/kamiɕiɾasawa keːne/	上白泽 慧音	上白澤 慧音	ㄕㄤˋ ㄅㄞˊ ㄗㄜˊ ㄏㄨㄟˋ ㄧㄣ	上白沢 慧音	
32	因幡帝	Yīnfān Dì	[īn fān tì]	因幡帝	ㄧㄣ ㄈㄢ ㄉㄧˋ	Yīnfān Dì	[īn fān tì]	因幡てゐ	Inaba Tei	いなば てゐ	/inaba teː/	因幡 帝	因幡 帝	ㄧㄣ ㄈㄢ ㄉㄧˋ	因幡 てゐ	
32	因幡天为	Yīnfān Tiānwèi	[īn fān tʰjɛ̄n wèi]	因幡天為	ㄧㄣ ㄈㄢ ㄊㄧㄢ ㄨㄟˋ	Yīnfān Tiānwèi	[īn fān tʰjɛ̄n wèi]	因幡てゐ	Inaba Tei	いなば てゐ	/inaba teː/	因幡 天为	因幡 天為	ㄧㄣ ㄈㄢ ㄊㄧㄢ ㄨㄟˋ	因幡 てゐ	
33	铃仙·优昙华院·因幡	Língxiān Yōutánhuáyuàn Yīnfān	[líŋ ɕjɛ̄n jōu tʰán xwá ɥɛ̀n īn fān]	鈴仙·優曇華院·因幡	ㄌㄧㄥˊ ㄒㄧㄢ ㄧㄡ ㄊㄢˊ ㄏㄨㄚˊ ㄩㄢˋ ㄧㄣ ㄈㄢ	Língsiān Yōutánhuáyuàn Yīnfān	[líŋ ɕjɛ̄n jōu tʰán xwá ɥɛ̀n īn fān]	鈴仙・優曇華院・イナバ	Reisen Udongein Inaba	れいせん うどんげいん いなば	/ɾeːseɴ ɯdoɴgeːɴ inaba/	铃仙·优昙华院·因幡	鈴仙·優曇華院·因幡	ㄌㄧㄥˊ ㄒㄧㄢ ㄧㄡ ㄊㄢˊ ㄏㄨㄚˊ ㄩㄢˋ ㄧㄣ ㄈㄢ	鈴仙・\n優曇華院\n・イナバ	
33	铃仙·优昙华院·稻叶	Língxiān Yōutánhuáyuàn Dàoyè	[líŋ ɕjɛ̄n jōu tʰán xwá ɥɛ̀n tàu jè]	鈴仙·優曇華院·稻葉	ㄌㄧㄥˊ ㄒㄧㄢ ㄧㄡ ㄊㄢˊ ㄏㄨㄚˊ ㄩㄢˋ ㄉㄠˋ ㄧㄝˋ	Língsiān Yōutánhuáyuàn Dàoyè	[líŋ ɕjɛ̄n jōu tʰán xwá ɥɛ̀n tàu jè]	鈴仙・優曇華院・イナバ	Reisen Udongein Inaba	れいせん うどんげいん いなば	/ɾeːseɴ ɯdoɴgeːɴ inaba/	铃仙·优昙华院·稻叶	鈴仙·優曇華院·稻葉	ㄌㄧㄥˊ ㄒㄧㄢ ㄧㄡ ㄊㄢˊ ㄏㄨㄚˊ ㄩㄢˋ ㄉㄠˋ ㄧㄝˋ	鈴仙・\n優曇華院\n・イナバ	
34	八意永琳	Bāyì Yǒnglín	[pā ì jʊ̌ŋ lín]	八意永琳	ㄅㄚ ㄧˋ ㄩㄥˇ ㄌㄧㄣˊ	Bāyì Yǒnglín	[pā ì jʊ̌ŋ lín]	八意永琳	Yagokoro Eirin	やごころ えいりん	/jagokoɾo eːɾiɴ/	八意 永琳	八意 永琳	ㄅㄚ ㄧˋ ㄩㄥˇ ㄌㄧㄣˊ	八意 永琳	
35	蓬莱山辉夜	Péngláishān Huīyè	[pʰə́ŋ lái ʂān xwēi jè]	蓬萊山輝夜	ㄆㄥˊ ㄌㄞˊ ㄕㄢ ㄏㄨㄟ ㄧㄝˋ	Péngláishān Huēiyè	[pʰə́ŋ lái ʂān xwēi jè]	蓬莱山輝夜	Houraisan Kaguya	ほうらいさん かぐや	/hoːɾaisaɴ kagɯja/	蓬莱山 辉夜	蓬萊山 輝夜	ㄆㄥˊ ㄌㄞˊ ㄕㄢ ㄏㄨㄟ ㄧㄝˋ	蓬莱山 輝夜	
36	藤原妹红	Téngyuán Mèihóng	[tʰə́ŋ ɥɛ́n mèi xʊ́ŋ]	藤原妹紅	ㄊㄥˊ ㄩㄢˊ ㄇㄟˋ ㄏㄨㄥˊ	Téngyuán Mèihóng	[tʰə́ŋ ɥɛ́n mèi xʊ́ŋ]	藤原妹紅	Fujiwara no Mokou	ふじわら の もこう	/ɸɯdʑiwaɾa no mokoː/	藤原 妹红	藤原 妹紅	ㄊㄥˊ ㄩㄢˊ ㄇㄟˋ ㄏㄨㄥˊ	藤原 妹紅	
37	花映冢	Huāyìngzhǒng	[xwā ìŋ ʈʂʊ̌ŋ]	花映塚	ㄏㄨㄚ ㄧㄥˋ ㄓㄨㄥˇ	Huāyìngjhǒng	[xwā ìŋ ʈʂʊ̌ŋ]	花映塚	Kaeizuka	かえいづか	/kaeːdzɯka/	花映冢	花映塚	ㄏㄨㄚ ㄧㄥˋ ㄓㄨㄥˇ	花映塚	TRUE
38	射命丸文	Shèmìngwán Wén	[ʂɤ̀ mìŋ wán wə́n]	射命丸文	ㄕㄜˋ ㄇㄧㄥˋ ㄨㄢˊ ㄨㄣˊ	Shèmìngwán Wún	[ʂɤ̀ mìŋ wán wə́n]	射命丸文	Shameimaru Aya	しゃめいまる あや	/ɕameːmaɾɯ aja/	射命丸 文	射命丸 文	ㄕㄜˋ ㄇㄧㄥˋ ㄨㄢˊ ㄨㄣˊ	射命丸 文	
